no;isocode;flfp2000;female_ownership;women_politics;plow;agricultural_suitability;tropical_climate;large_animals;political_hierarchies;economic_complexity;ln_income;ln_income_squared;year_obs;plow_aborigenal;hunting;husbandry;terrain_slope;soil_depth;avg_temperature;avg_precipitation;country;communist_dummy;continent;rugged;european_descent;cath00;prot00;othchrist00;muslim00;hindu00;trade_GDP;years_civil_conflict;years_interstate_conflict;agr_va_gdp2000;man_va_gdp2000;serv_va_gdp2000;polity2_2000;plow_negative_crops;plow_positive_crops;region;intensity_agriculture;abs_inherit;matrilocal;patrilocal;nuclear_fam;extended_fam;oil_pc;terrslope2;soil2;avg_temp2;avg_precip2;slope_soil;slope_temp;slope_precip;soil_temp;soil_precip;temp_precip;centered_ln_inc;centered_ln_incsq
1;ABW;NA;NA;NA;0;0.829846583;1;1;4;7;NA;NA;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;Aruba;0;North America;0.462427943;NA;NA;NA;NA;NA;NA;54.22999954;NA;NA;NA;NA;NA;NA;0.631516516;0;North America;0;0;0;1;0;1;NA;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;NA;NA
2;AFG;31.3;2.8;NA;0.999969482;0.229267364;0.785294715;1;3.633687973;6.199329853;NA;NA;1630.530029;0.999969482;0.042238392;0.364606649;24.97126107;0.261574752;8.63034043;23.19572929;Afghanistan;1;Asia;2.518146183;0;0;0;0;0.981000006;0.004;NA;21;1;NA;NA;NA;-7;0.220287755;0.815809071;Asia;0.700549543;0.000142139;0;1;0.000617816;0.999382198;0;623.5639038;0.068421349;74.48277283;538.0418701;6.531851292;215.5104828;579.2266235;2.257479191;6.067417145;200.1870422;NA;NA
3;AGO;75.2;56.6;16;0;0.921061174;1;0.998895526;2.720727205;6.697216511;6.491622448;42.14116287;1925.911133;0;0.133057505;0.178424776;18.93674476;0.985093932;20.44588043;95.53415537;Angola;1;Africa;0.858215858;2;0.620999992;0.150000006;0.169;0;0;120.0699997;31;2;5.66;2.89;22.21;-3;0.750942528;0.286111176;Sub-Saharan Africa;0.013494946;0.06920179;0;0.647846758;0.115160614;0.062165204;0.071893834;358.6003113;0.970410049;418.0340271;9126.774414;18.65447235;387.1784058;1809.105957;20.14111328;94.11011505;1953.279907;-1.078977872;1.164193248
4;AIA;NA;NA;NA;0;0.829846583;1;1;4;7;NA;NA;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;;NA;North America;0.012553408;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.631516516;0;North America;0;0;0;1;0;1;NA;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;NA;NA
5;ALB;50.2;10.8;5;1;0.555927826;0.35931775;1;3.029723167;5.035050869;7.09347868;50.31744003;1888.960815;1;0.025;0.397049457;31.4054737;0.780918759;11.05608321;79.33511471;Albania;1;Europe;3.427058276;100;0.167999998;0.006;0.02;0.388000011;0;36.56000137;0;0;29.13;11.44;51.86;5;0.333477974;0.97378701;Europe;1;0;0;0.987484932;0.015537197;0.984462857;0;986.303772;0.609834135;122.2369766;6294.060547;24.5251236;347.2215271;2491.556885;8.63390255;61.95428085;877.1356201;-0.47712164;0.22764506
6;AND;NA;NA;7;1;0.8830061;0.668800225;1;4.331199646;7;NA;NA;1950;1;0.025;0.300000012;18.95187269;0.758874936;14.53661893;45.63596791;;NA;Europe;5.717271229;NA;0.89200002;0.002;0.041000001;0.006;0.005;NA;0;0;NA;NA;NA;NA;0.297298163;0.984101593;Europe;1;0;0;0;1;0;NA;359.1734924;0.575891197;211.3132935;2082.641602;14.38210106;275.4961548;864.8870239;11.03147602;34.63199234;663.3927002;NA;NA
7;ANT;54.8;NA;NA;0;0.829846583;1;1;4;7;NA;NA;1950;0;0.025;0.100000001;4.821624924;0.89267946;26.35104179;96.39250183;Netherlands Antilles;0;North America;0.254913279;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.631516516;0;North America;0;0;0;1;0;1;NA;23.24806786;0.796876609;694.3773804;9291.514648;4.304165363;127.0548401;464.7684937;23.52303314;86.04760742;2540.042725;NA;NA
8;ARE;34.2;NA;0;0.999999762;0.042190406;1;1;3.999999523;6.999998569;9.986932755;99.73882294;-1982.277222;0.999999762;0.025000017;0.200448781;6.123180676;0.859516151;22.31110057;8.075888868;United Arab Emirates;0;Asia;0.768834748;0;0.050999999;0.009;0.021;0.755999982;0.078000002;120.1900024;0;1;3.51;13.47;40.83;-8;0.123925775;0.6822505;Asia;0.999999762;2.15E-07;0;0.004486775;0.995513201;0.004486561;0.815550685;37.49334335;0.738768041;497.7852173;65.21997833;5.262972832;136.6148987;49.45012665;19.17675209;6.941357136;180.1819763;2.416332435;5.838662434
9;ARG;45.6;38;28;0.007799393;0.546769109;0.997066092;0.797933877;2.256278276;4.757950306;8.949351311;80.09088898;1836.203613;0.007356229;0.210055307;0.119331345;10.74262754;0.884089189;19.99556722;97.14980535;Argentina;0;South America;0.774610635;89.88949585;0.850000024;0.034000002;0.048;0.02;0;18.12000084;16;9;4.97;17.52;67.42;8;0.461312741;0.674352169;South America;0.31024766;0.845843852;0.11043819;0.508573771;0.429871053;0.570128918;0.021927122;115.4040451;0.781613708;399.8227234;9438.084961;9.497441292;214.8049316;1043.644165;17.67786407;85.88909149;1942.56543;1.378750991;1.900954294
10;ARM;57.2;31.8;3;0.977451026;0.594145888;0.024724411;1;3.975265265;6.856072903;6.430098057;41.34616089;1900.987915;0.977451026;0.026691172;0.311492234;26.27373546;0.597138719;7.507083728;37.09762885;Armenia;1;Asia;2.688422465;0.5;0.046;0.003;0.009;0.027000001;0;61.52000046;3;2;25.55;24.07;39.04;5;0.348280191;0.964384913;Asia;0.977451026;0;0;1;0.024707329;0.975292683;0;690.3092041;0.356574655;56.35630798;1376.234009;15.68906498;197.2391357;974.6932983;4.482770443;22.15243149;278.4949951;-1.140502263;1.300745412
